"Review","Date","Location"
"Absolutely the worst, which is weird because they used to be one of the best. I'm very disappointed. I have asked for support chat transcripts to be sent, never happens. I have asked for support, but instead of giving me support for their products, they try to sell me more crap products.

I'm done.","August 27, 2024",US
"I’ve had a very disappointing experience with Bluehost over the past five years. Their servers have frequently broken down, making it extremely challenging to develop and maintain a website. Support is a constant struggle, often requiring lengthy chats with representatives who seem more interested in upselling expensive plugins rather than genuinely resolving issues. Overall, their service has been far from satisfactory, and I would not recommend Bluehost to anyone based on my experience.","August 28, 2024",LK
"Seems to be an unpleasant cycle of problems and non-solutions. Generally, dealing with bluehost is frustrating and marginal at best.","August 21, 2024",US
"Website stopped functioning. Was told Bluehost had issues with DNS propagation. Days to solve. Hours on support chat. Didn't offer any compensation. Tried to reach out to ask for compensation, all roads blocked, email addresses unresponsive, and support staff on chat dodging the request. Bluehost sucks.","July 31, 2024",AU
This company engages in unethical practices—they automatically renew charges even if you're not using their services.,"August 28, 2024",MA
"Bluehost is biased
Most Yemeni websites are shared via Bluehost and yet the country code for Yemen was not taken into consideration and added to add two-factor authentication","August 01, 2024",YE
You just locked our account & I can't get my data (2 years left for the domain to expire + website + emails) & all of this service stopped works from 2 weeks ago & no one can help me even though I made your support advice that I create a new account & you will transfer all services to the new account & nothing happen till now.,"August 01, 2024",EG
"Customer service was rude and lying, saying if I didn't place an order through chat, my server deployment would take three days, The second thing is that Blue host doesn't accept Ubuntu and doesn't make it clear in the checkout process.","August 27, 2024",MA
"My web site was EXTREMELY s-l-o-w. I called many times and received a different answer each time. I was promised two e-mail analyses of the solution to my problem -- they NEVER came. I told I would receive a phone call Tuesday, August 20 from a technician -- that call did NOT come either. Although my web site no longer crashes, it is still slow. No one from your company has reached out to me to fix the problem.","August 09, 2024",US
Customer service and support are generally bad and slow. Servers are terribly slow and outdated.,"August 27, 2024",CA
"i have never cried more about a site than this one. when I was 14 years old my mom let me have the cheapest web hosting for my blog hobby. when designing was to difficult for me I later stopped. I have been trying to get rid of my account and domain ever since. auto-stopped all renewals and had hours of wait on customer service only to hear that the 14 days of refunding had passed while I had tried to call multiple days prior. blue host is charging my mom 300-400 euros a year now, gets insanely more expensive by time, domain costs too. I set my mom real bad and ive been scared to ask her for monetary help my entire childhood. again this year, 20 years old now, after all I think I had cleared. they again took 100.","August 26, 2024",NL
"Today I had the most ridiculous interaction with call-in support. The interaction, it turns out, was probably unnecessary if I had been more patient and willing to wait.
I clicked on my taskbar icon for Bluehost (a 3x3 grid of blue squares) which usually takes me to my webmail login. Instead it brought me to my account login. I entered the information correctly, thinking I would then find the entry to my webmail. I clicked ""Login"" and the blue banner just faded in and out. After the 3rd try, I received ERROR 1501 or something of that sort, telling me I was banned from access.
Since I run a medical practice through this site, I called Customer Support to get functionality back. The person with whom I was connected told me effusively how happy she was to help me in an accented English from which I could interpret only one word out of every three. Most of the conversation comprised respelling my name - repeatedly - in NATO phonetic alphabet format. I was so exasperated that I said ""just the same as last time!"" During this meaningless back-and-forth, I became impatient and simply went back to my existing login link. Lo and behold, the usual instrument came up, allowing me to login to my webmail without difficulty. I am not sure what the Customer service rep did while she was making me respell my name and account name, but she did not divulge what had happened. Frankly, I think Bluehost was experiencing technical difficulties and the rep was making sure I was distracted while you fixed what was wrong. Really disappointing!","August 27, 2024",US
"Terrible waste of time and money, to convoluted and frustrating, went with Hostinger much better","August 08, 2024",AU
"The process for going to a WP platform has been much slower that what we were presented with. We did not receive the questionaire for 4 days and then it took a week to get the writing started. Now it's been 3 or 4 days since copy was completed and the the site is still not ready. This is not a comples website by any means and should have been completed in the time frame originally provided. No communication from BH or WP people with questions or suggestions.
For what they charge this should have been done in time and with considerably more interaction with client.","August 23, 2024",US
"My developer and I have been trying to move our hosted account from one location to it's own account. Every time we call someone from support, they seem to have a different set of instructions on what to do. We've made more than a half dozen calls.

We've tried all kinds of things from trying to start a new account and inviting the other with no success to preparing to hire Blue Host to most the entire site to it's own Blue Host hosting account.

No one seems to know the right way to do this and once we've dealt with a support person...no further actions seem to go forward.

I've now purchased a Blue Host account that's just sitting there costing me money and doing nothing. My developer is getting frustrated that no one seems to know what's going on with his request...and now no one seems to even know where the original account lives.

Really disappointing service and extremely confusing and inconsistent. I would never purchase another hosting account for Blue Host again.","August 15, 2024",CA
Bluehost is a horrible organization. I turned off auto renew on all my products. I was still charged for a 3 year hosting package without consent. They told me I had to turn off hosting auto renew on a different menu hidden inside of the system. To stop auto renew I changed my payment method. They stole another payment method from an entire different product that I purchased with them. I called within minutes of the charge. They refused to refund me the entire charge and only took me down to 1 year renewal. They refused to move me to a month to month. The customer support refused to allow me to speak to a manager. The customer support then refused to initialize the refund until I said I was satisfied with the company and his service. WOW. I will never allow anyone I care about to work with this company.,"August 20, 2024",US
"I totally regret using this hosting platform. If there was no star, I would have chosen that one. I got recommended to them because they have been good in the past but I really don't understand what is happening these days. I bought a domain through them and did a transfer in. I have been waiting for my authorization key since then but no response. I even emailed the main hosting domain provider for help but they too didn't respond and a few moments after I emailed them, Blue host suddenly wanted to charge my account without authorization. The worst of all is that the chat box has stopped working so I can no longer speak to customer support for assistance. I hate that I have spent money on this site hoping I could grow through them. This is such a disappointment.","August 10, 2024",NG
"This company engages in unethical practices—they automatically renew charges even if you're not using their services. They immediately restrict your email inbox size to just 100MB, a deceptive tactic to trap you into paying more. They have overcharged our company by hundreds of dollars. Avoid using their services at all costs—you'll end up paying far more than you should.","August 27, 2024",IL
"You initial techs seem to take a lot of time on issues. I am sure they are consulting something or someone else. Spend too much time verifying who I am. Name. Company, registered email. Phone/messaging verification. Too much","August 27, 2024",US
Deducted more than $600 from my account and services was set to not renew. I left my credit card expired and set services not to auto-renew before any of the domains 3 year contract had lapsed. Been busy 17 days and no service or refund and hours wasted on chats just mentioning we will investigate issue.... These guys are delaying without reason and will take your money (from an expired credit card which cannot be removed from their systems) and have stupid answers when I show them my actual credit card statement and telling me the transaction did not go through.,"August 10, 2024",ZA
I AM HAVING PROBLEMS POSTING.,"August 26, 2024",US
"Unauthorized Charges and Unhelpful Support - Terrible Experience

I had a frustrating and disappointing experience with Bluehost. They wrongly charged my account for domain renewals and added Domain Privacy + Protection services without my consent. Despite not authorizing these charges, they were still added to my billing, which is completely unacceptable.

To make matters worse, when I tried to resolve the issue through their support chat, the representative (Shamanth) disconnected the chat without providing any assistance. The support was utterly useless and left me with no answers or solutions.

I’ve requested a refund for these unauthorized charges, but if I don’t receive one soon, I’ll have to escalate the issue by filing disputes with PayPal and my credit card company. The lack of transparency and poor customer service has made me seriously reconsider ever using Bluehost again. Save yourself the hassle and look elsewhere for reliable hosting services.","August 26, 2024",GB
"I consistently struggle with their support department when there is a problem with my hosting account. The technicians give you information that is just incorrect and basically bs. Then they try to get you off of the line, saying they escalated the case. You never hear back from them in the time they quote. I'm so frustrated with this company. My web clients depend on having a site up and running to conduct their business. I'm embarassed to repeat what I'm being told by the Bluehost team.","August 25, 2024",US
"They will add mysterious subscriptions to your account and start charging you for them annually. Of course, no one ever logs into their hosting provider, so time will pass by before you notice you've been getting charged fraudulently. I think their strategy is to hope you don't notice and they'll make some extra money off of you. Then when you try to get the charges refunded because you did not authorize them, they insist you signed up for this service, forcing you to go the dispute route with your credit card company.","August 25, 2024",US
"I have reached out to Bluehost multiple times after they cancelled my domain that was purchased as part of a hosting package. I asked for the domain to be maintained, and to cancel the hosting portion of my purchase (I found the Word Press plug in not very intuitive for me), but both were cancelled instead. I have been told my domain will become available within 60 days ... then 90 ... then 120 ... then in March 2025 ... and now, unknown. I understand mistakes happen, but I am confused as to why each customer service person gave me different information, and now it seems impossible to get my domain renewed. I 100% would not use Bluehost again nor recommend them to others.","August 24, 2024",US
"This is the most ridiculous experience I have ever had working with Tech organisations! We unfortunately missed the renewal deadline for our domain, we got no buffer or grace time at all until we realised our website is down and we couldn't receive any emails. We realised what had happened and for more than 5 days we are still negotiating with Bluehost so we can have access to the account, make payment and have our services renewed!!! They have failed all their service time delivery and you have absolutely no feedback until you have followed up again and again! It has been such a frustrating experience! Then I learnt there is no complaint procedure, so no one taking responsibility! IF ANYONE IS PICKING UP THIS FROM THE TEAM, COULD YOU PLEASE FOLLOW THROUGH AND HELP RESOLVE THIS SITUATION? WE HAVE SUPPLIED EVERYTHING YOU ASKED US FOR SO I AM NOT SURE WHY WE ARE STILL AT THIS STAGE!","August 21, 2024",GB
"Bluehost customer since 2008. Had a very passive web page and personal email.
January 2024: Bluehost informs me that email service will cost $500USD/year going forward. Cancel email.
August 2024: Bluehost auto-renews web page on my credit card; will not accept new email without a PDF of my driver’s license!!! Simply a scam to get money without providing any value whatsoever. Who would send a picture of DL to this outfit?
NB: Bluehost response below was accompanied by no action whatsoever to reach me or refund this fraudulent charge","July 31, 2024",US
Price was shown in AUD from the beginning and changed to USD at the checkout page without even pointing it out. Only noticed it when I made the payment with my credit card. I called support to cancel the plan and get a refund.,"August 22, 2024",AU
"Customer service is excruciatingly slow as agents must be handling multiple chats at once.
Very quick to blame anything other than their servers for speed problems.
Purposefully unclear pricing, so much so that even the support reps have no idea what is in each bundle and either accidentally or purposefully double charge for things like SSL and domain.","March 01, 2024",GB
"Absolutely horrendous customer service. I started with them about five years ago and they were great. I bought my email through them which connected to Microsoft. Then suddenly they stopped supporting Microsoft and now I’m having all kinds of problems with my email and no one will help me. I would not recommend them at all. They have gone way downhill.

UPDATE: I did finally get resolution from a rep. It took four or five phone calls to get this situation resolved. I am happier now, but this should not have happened. I told each rep that what was happening with my email with significantly affecting my business. I was in tears by the end of the conversations, until I found a rep who knew what they were doing. All APPEARS to be okay now. They need to really work on their customer service.","August 20, 2024",US
"It was a terrible experience. I was never able to take my site live after nearly two years of service. Every time I tried to log into the cpanel to work on my site I had log in issues and had to contact support. Then by time I got in, I'd be so frustrated I wouldn't want to work on the site. This comes from a guy that had used their services years ago and never had problems. I don't know what changed, maybe they were bought out, but the customer service is terrible. It was like an act of god to just to close the account and move my domain.","August 20, 2024",US
"Good quality but the worst customer support. If they could only work on their customer support, i would be a big fan.","August 21, 2024",PK
"I’m extremely disappointed with Bluehost’s customer support. After spending four weeks developing a staging site, I asked them to back up my website and restore the staging site. Instead of restoring it properly, they messed it up, leaving the site inaccessible.

When I asked for help, they requested the backup I had downloaded, but when they restored it, the staging site wasn’t included. I ended up losing all the work I had done. To make matters worse, they’re charging $150 to access their server backups, even though this issue was caused by their own mistake.

Overall, a very frustrating experience. I expected better from Bluehost.","August 21, 2024",MM
"They are scammers, they deleted our website just after our 1 year hosting expired. When talked with chat support they clearly said its not their responsibility. I mean what the hell you are a big company they didn't even sent one email or message before completely deleting it. My website contained very sensitive data and these morons deleted it without any notice. And refused that we didn't notify our customers before deleting. I'm never going to use their services again complete trash company. Please don't use their services.","August 18, 2024",IN
"Total lack of caring about customer situation. Preventing me from accessing my account, then when asked for EPP code to transfer EXPIRED domain, they retaliate by locking domain for 60 days. In any other ""business"", this is EXTORTION. ACR-65166
I would rate Blue host lower if I could.","August 19, 2024",US
"I'm experiencing an ongoing issue with cPanel not updating my business emails to my Outlook account. This problem occurs intermittently. After consulting a technical expert, I was advised to contact my business email provider as the issue seems to stem from the DSN, which can be affected during web host updates.

This evening, I reached out to Bluehost customer service to resolve the issue. Unfortunately, during the first call, the representative went silent mid-conversation, leaving me hanging. This happened again on my second call, and it became clear that the responders lacked the technical expertise needed to address my problem.

On my third attempt, I specifically requested to speak with someone more knowledgeable. As expected, I had to repeat the entire issue each time I called, which was frustrating given the apparent time constraints the responders were under. The last representative I spoke with asked me to hold while she transferred my call. There was a brief moment of hold music, but then it went silent again, leaving me uncertain whether I should continue waiting or if the connection had been lost. After a few minutes, I decided to hang up, as previous calls had shown that silence meant the connection was likely lost.

Given the amount of money I pay for their services, I expected a much higher standard of customer support. It's disappointing to see a decline in the quality of their service, especially since they were much more customer-focused in the past. Needless to say, I'm done with their abysmal customer service and will be switching to a hosting provider that prioritises its customers.","August 19, 2024",GB
"Signed up with Bluehost as part of a website-building process. When I changed my mind regarding the purchase and the building service in general (after signs the scheme was a scam), the customer service representative didn't respond; instead allowed the time limit to run out when I sent a message asking if there were still there and if they needed more information.

The company is quick to take your money but lacks the ability to help you if there is a problem. This was my first time using the site, and I would not recommend it to anyone.","August 19, 2024",GB
"I needed an FTP for my website, and I contacted the customer service. I never used Bluehost, this was my first time.
I spoke with an assistant called Samyak, who said to me that FTP was available for everyone, even who purchased a domain only without the hosting plans. After some messages, he said the complete opposite, saying that I should buy a hosting plan. I've asked for a refund that didn't even went well.
He was very disinformated, and didn't know how the system of his company works.
Awful costumer service, not recommended!","August 18, 2024",IT
I needed EPP Code to transfer my domain. They kept saying it will be sent in 1 hour. It is now 10 hours but no code sent for transferring and support is not responding.,"August 16, 2024",GB
"I had two websites with Bluehost. The first crashed and they wanted to charge me for uploading the backup. The second one got attacked by malware and they wanted to charge me for removing the malware. Their support is absolutely terrible, in every aspect.","August 17, 2024",GB
"I have been a client of Blulehost since 2007/2008. Lately, their quality of service and customer focus in general has tanked beyond what is acceptable in the marketplace. They charge me for tools I use to build my websites and then tell me they no longer support those services, and don't allow me to access those tools through their platform any longer for new sites that I want to build... yet they continue to send me bills for the tools they say they no longer support or allow me to access.","August 16, 2024",US
"Greetings,
I am facing a frustrating situation with the WordPress Professional service through Bluehost.
I am writing to express my concern regarding the lack of response to the support tickets I have submitted regarding the design assistance for my website, I subscribed to the WordPress Professional service on August 5th, and despite submitting multiple tickets and follow-up requests, I have not received any support or even an estimated timeline for resolution. So This delay is affecting my ability to progress with my website.
Sincerely.","August 05, 2024",MA
"Horrible experience. I want to downgrade my plan, as I don't need unlimited hosting. But I am told that the only way to do this is to start a new plan and transfer everything manually. How","August 15, 2024",NZ
"We're a consulting company of approx. 50 employees and Bluehost has crippled us since 7/29/24.

We haven't been able to send emails for over 3 weeks now, although the matter has been escalated to Tier 2 support in India. (Tier 1 support is based in the Philippines).

Bluehost needs to have US-based technical support who can really understand what our problem is.

We've spent thousands of dollars on hiring Consultants to troubleshoot and fix our problem and they point to Bluehost and no one else.

Can someone at Bluehost Tech Support, in the US, call us at 408-667-2200 as soon as possible?","July 29, 2024",US
"I ordered 5 domains from a customer service agent who was professional nice. I spent several hours getting everything set up. 5 days later without warning I get a notice stating my order and domains were canceled due to non payment. Even though I had paid up front and put a card on file with them.

I called the billing department. TOTALLY different experience from the sales department. They blamed the CC Company(who I called and said they could see the company issue a refund, and my CC company had nothing to do with it). Said I would have to wait to get my remaining money back, and to see what really happened.

They also did not hide my personal info as I requested, and my phone has been blowing up with unsolicited calls for 5 days now.

All that planning and work on both of our parts to just flush it all down the toilet.","August 13, 2024",US
"I have used bluehost for 12 years. This past 3 months all my websites are down. Every other day my sites go down with 409 errors, box errors, server errors, time out errors. My websites that loaded for 1 second - now they load for 2-5 minutes for a single page. Its ABSULTE BS!
I cant stand this company anymore - and this is my last straw... Im giving them 24 hours to fix my account, and if they dont - im moving multiple accounts away form them to ANY one else.","August 14, 2024",US
I had a problem with my website security. Bluehost support and an outside vendor of theirs sent me back and forth between whose fault it was. Then they both said they only way out is to invest a lot more in security. Was sent back and forth again. It's been 2 months and I still have no website. Literally.,"June 13, 2024",US
"The worst customer support, I have ever seen.","August 14, 2024",PK
"Charge me without my consent more than 500$, scammers","August 09, 2024",US
"I am a considerably tech savvy person, but I had to spend WEEKS trying to understand bluehost and Wordpress. After taking the bluehost online course and still being so frustrated, I contacted support. I was told I would have to pay for someone to help me with Wordpress. When I asked for a refund, they told me I was past the 30 days. No grace, no understanding that those additional days was trying to figure it out using THEIR resources. Save yourself the money! I decided I had already spent enough time trying to manage this mess of a system and ended up just quitting on the 1 yr contract after only 40 days and invested in a much more quality site host.","July 23, 2024",US
"I am not too familiar with this Internet stuff. I had a simple html site which I was able to maintain myself. There was nothing tell me that migrating to Wordpress with Bluehost would be completely different. So migration did not work well and was not able to get much help. Almost every person that connected with told me they did not how to help me. After much trouble I was finally able to find help with my site. I am still using html. To convert to Wordpress requires me to spend considerably large sum of money, something that I wish was made clear to me before I signed up for a three year contract.","June 16, 2024",US
"Very bad support, till date you are unable to solve our emails issues and it is under your responsibility to solve all issues. We can receive emails and unable to send emails and it is the time to move to other service provider.","August 13, 2024",QA
About the worst experience in hosting all my sites are corrupted. Company offers no support. This is targeted to African American clients whosever. Service not good,"August 13, 2024",US
"Unknowledgeable staff that drop the ball, saying they will do but don't do. Wasted a lot of time with bluehost","July 24, 2024",US
"IIt is the WORST service imaginable! Nothing was provided as promised when they took my money. I cannot get anyone on the telephone, and no one replies to MANY voicemails that I leave. My business email does not work, and THEY DO NOTHING TO COMMUNICATE WITH ME AND FIX THIS DISASTER!!!! I am beside myself with aggravation, and Blue Host is destroying my business. I intend to take this to a television Consumer Complaint program and blast this over national television. Blue Host gets NO stars from me, and I warn anyone reading this to beware!","July 07, 2024",US
"I wish I could put ZERO but ONE star is the minimum. My experience lasted a few days because my patience was very scarce with these guys. Long story short, I bought the mail hosting and for three or four days tried to setup my account into their server. I was a nightmare dealing with Customer Service is awful and imprecise. I got fed up with chatting and decided to call. They tried to make me change my Domain host and after I was not Ok with their proposed solution I swithched to another supplier and within 2 hours everything was working with no change in domain hosting. Bottom line, look for someone else, not these guys!!!","July 26, 2024",PE
site down for a week. have been told 3 times by bluehost tech the issue is fixed. website still not working.,"August 13, 2024",US
I was told I needed more storage so I needed to changed from shared network to a dedicated VPS so I bought the dedicated VPS. Then my site went down. I was told it was because I need more storage than the dedicated VPS they told me to buy to fix the problem so I needed the Enhanced VPS. So I bought that. The site stayed down. I called back and they said it was because I needed to buy the Premier VPS. At this point of being misinformed I gave up.,"August 10, 2024",US
"Don't love the tactics of giving you a low intro rate and then hiking up the price dramatically after you're pretty locked in with them. Also they make it very difficult to transfer anything out once you get it in, for example transferring a domain to an outside registrar is incredibly difficult because they put up numerous roadblocks.","August 13, 2024",US
"I am disappointed in Bluehost Support. I had an issue with my SSL and contacted them at least 6 times (through chat or by phone) before it was resolved. The first time, they simply sold me another product and that didn't fix the issue. Once it was resolved, it wasn't done correctly but I don't have the time to keep contacting them. I also had a different problem a few days after that and had to contact them at least twice to resolve that one. The second problem was also not fully addressed, and the customer rep did not explain more when I was asking about the next steps. I will be researching other options and possibly switching to a different service.","August 08, 2024",US
"While I thank you finally for the refund of the monies you debited from my checking account over a year after you were notified that my website was being hosted by another company, I am still awaiting a letter or an e-mail confirming that Bluehost acknowledges that it is no longer ... it hasn't been for two years ... the company hosting my website. I would like to not get billed in the future.","August 12, 2024",US
"Bluehost is a disgraceful company to deal with, I transferred over to another hosting company, and they failed to update the tag despite being instructed to do so. They now want to change me an inflated price to redeem my domain name, due to negligence on their end.","August 13, 2024",GB
"COVID is more helpful and pleasant. I have been with this company for the last 2-3 painful years. Occasionally, their customer service is helpful, but typically, it is the worst experience of my life. They have cost me hundreds of dollars and literally weeks of wasted time on customer service calls. I wish I could sue to get my life back. They trap you with fees. Charge you for things not mentioned, and WILL NOT refund. Please avoid this company at all costs.","August 13, 2024",US
"I cannot believe the sheer audacity of HostMonster and Bluehost. These companies are absolute disasters. My hosting account has been a nonstop nightmare, with servers hacked on a weekly basis. It's like they're running a charity for hackers!

To add insult to injury, someone managed to access my panel and purchase a whopping 25 domains without my authorization. Despite having two-factor authentication set up, their security is about as effective as a paperclip. When I finally realized the mess, I contacted support and was met with a shocking level of incompetence.

It took them over a week to even acknowledge the problem, let alone start to fix it. When I demanded a concrete timeline, the support rep abruptly ended the chat. I tried to escalate the issue to a manager, but they seemed to have vanished into thin air.

HostMonster and Bluehost are a disgrace to the hosting industry. Their servers are a breeding ground for hackers, their security is a joke, and their customer support is non-existent. I strongly advise anyone considering these companies to run as fast as possible in the opposite direction. You've been warned!

TL;DR: HostMonster and Bluehost are terrible. Servers get hacked constantly, security is a joke, support is useless, and they stole my money. Avoid at all costs!","August 07, 2024",EG
"Disappointed with BlueHost more and more. I have been using them for about a decade and they keep doing things that dissapoint me.

Most recently they gave me free .online domains that I did not ask for and set them up to auto renew. The emails they send to notify you, and the design of their website are designed to make it difficult to see what's what so that you end up paying for things you don't want or need.

Aside from that, sometimes my website just stops working for no reason and I have to contact customer service. They decided the unlimited plan I have had forever is no longer unlimited, but aren't very clear on how much space is offered. Every time I log in they are constantly trying to push domain privacy protection on me and again, design the page so that users accidentally click ""BUY"".","August 12, 2024",US
"the customer service is a night mare , I used different web hosting companies for the last five years. I used bluehost for the first time this time, my web got deleted for unknown reason from the host side, there is no phone number to call there is a chat line but those people on the chat line they don't want to answer the right answer they rather find a way to put you in a trap and charge you. NOT SUGGESTING BLUEHOST","August 09, 2024",US
"Hosting, User Interface and Experience wise this company could improve a little bit. On the administration side tho, this company is one of the worse I've dealt with. After being on the chat for over an hour in total trying to cancel my hosting plan which was renewed without any notice, they finally agreed upon a refund of nearly €200 and cancel the renewal. A few days after, another charge of the same amount was made for the same product. Contacting the support chat they tell me that the refund has already been issued and a new charge hasn't been made. This is because their backend doesn't show charges made straightaway. So here I am again, spending more than an hour of my time and spending money for something that they didn't fix. Most of their custom agents is also not smart enough to comprehend these things and they just work with pre-installed chat buttons.","August 11, 2024",NL
Offers a safe haven for distributors of pirated content and consistently disregards copyright complaints. Never got a response for a copyright claim.,"August 11, 2024",DE
"A domain was sitting on Hostgator and our client wanted off of it. Hostgator is another awful hosting company. They made the mistake of choosing Bluehost, without asking for our recommendation. They moved it off Hostgator but it never really moved to Bluehost. However, Bluehost's incompetent agents, reading off scripts and wasting our time with platitudes, couldn't realize what was wrong and after DAYS of chatting with different agents, and escalating it to advanced support, they figured out the issue. A bigger problem was that we couldn't see what was wrong because their Cpanel was not working and was repeatedly showing a missing 404 page. In the near week that I dealt with them, they still had not fixed their own backend. They keep spewing malarkey that the issue is just propagation and we have to be patient to wait the 48 HOURS and the problem would fix itself. After a wasted two days that our client's site is DOWN, the site is still not working and they investigate again and find another issue and promise that it will be fixed after another 48 HOURS of propagation. Of course it wasn't and our client is freaking out by now. We had to do all the investigation and figure out what was going on. The representatives are useless, incompetent and clearly, poorly trained. Any website that needs to be up at all times should stay FAR AWAY from this company. They offer nothing and at higher than normal pricing. They try to lure you in with first year discounted pricing but then you pay more than better hosting companies after the first year. Other domain registrars and hosting companies, the needed changes would have been done successfully within 20 minutes by us and within a few minutes by their competent support reps. Propagation would never take days, but merely minutes or a few hours. I just need to make sure that it is known by all that this is an awful, incompetent hosting company. USE THEM AT YOUR OWN RISK!","August 09, 2024",US
"Its a real hit and miss with support from Bluehost. Sometimes you get someone fantastic, but othertimes not so great. Unfortunately I have had some of the second type. Most recently, I wanted to ensure that the staging site I had created was removed. They deleted the database for the main site as well.. That being said, they did restore it so they get 2 stars. But I shouldn't have gone through the stress and time had it been done correctly!","August 08, 2024",GB
"Absolutely shocking service. after experiencing the worst service and lack of support from Bluehost. I DECIDED TO just loose my money and go to GODADDY which have been absolutely fantastic.

Don't waste your money with Bluehost and go straight to GODADDY. best service.","August 09, 2024",AU
I've had had the same issue over and over and I won't be completely satisfied until the issue is actually resolved.,"August 07, 2024",US
"SCAM ALERT! Doesn't even deserve a single star. Bluehost deleted my website because I cancelled a renewal! And the renewal fee was seven times higher than what I used to pay each year.
There was no backup, and they deleted everything without notifying me. Stay away from these Bluehost scammers!","August 08, 2024",AE
Charged twice for domain transfer that their support keeps telling me is cancelled by other host. I actually had both support teams on chat at the same time and one says its unlocked with transfer authorization code and Bluehost says its locked and that's why the transfers keep failing.,"August 07, 2024",US
"I tried to register a domain name and buy website hosting, but the transaction wouldn't go through for some reason and I was told to call a number.

I was on hold for 4 minutes before I gave up, which cost me about £18 in call fees from the UK for nothing. It turns out you can use the chat function, but the error message doesn't say that.

The web chat agent wanted my card details over the chat function, which didn't feel secure to me.

I've wasted £18 and two hours for nothing, AVOID this website!!","August 07, 2024",GB
